player_y,player_vel,next_pipe_dist_to_player,next_pipe_top_y,next_pipe_bottom_y,next_next_pipe_dist_to_player,next_next_pipe_top_y,next_next_pipe_bottom_y
256,0,309.0,53,153,453.0,153,253
248.0,-8.0,305.0,53,153,449.0,153,253
240.0,-8.0,301.0,53,153,445.0,153,253
233.0,-7.0,297.0,53,153,441.0,153,253
227.0,-6.0,293.0,53,153,437.0,153,253
222.0,-5.0,289.0,53,153,433.0,153,253
218.0,-4.0,285.0,53,153,429.0,153,253
215.0,-3.0,281.0,53,153,425.0,153,253
213.0,-2.0,277.0,53,153,421.0,153,253
212.0,-1.0,273.0,53,153,417.0,153,253
212.0,0.0,269.0,53,153,413.0,153,253
213.0,1.0,265.0,53,153,409.0,153,253
215.0,2.0,261.0,53,153,405.0,153,253
218.0,3.0,257.0,53,153,401.0,153,253
222.0,4.0,253.0,53,153,397.0,153,253
227.0,5.0,249.0,53,153,393.0,153,253
233.0,6.0,245.0,53,153,389.0,153,253
240.0,7.0,241.0,53,153,385.0,153,253
248.0,8.0,237.0,53,153,381.0,153,253
257.0,9.0,233.0,53,153,377.0,153,253
267.0,10.0,229.0,53,153,373.0,153,253
277.0,10.0,225.0,53,153,369.0,153,253
287.0,10.0,221.0,53,153,365.0,153,253
297.0,10.0,217.0,53,153,361.0,153,253
307.0,10.0,213.0,53,153,357.0,153,253
317.0,10.0,209.0,53,153,353.0,153,253
327.0,10.0,205.0,53,153,349.0,153,253
337.0,10.0,201.0,53,153,345.0,153,253
347.0,10.0,197.0,53,153,341.0,153,253
357.0,10.0,193.0,53,153,337.0,153,253
367.0,10.0,189.0,53,153,333.0,153,253
377.0,10.0,185.0,53,153,329.0,153,253
387.0,10.0,181.0,53,153,325.0,153,253
397.0,10.0,177.0,53,153,321.0,153,253
256,0,309.0,53,153,453.0,153,253
248.0,-8.0,305.0,53,153,449.0,153,253
240.0,-8.0,301.0,53,153,445.0,153,253
233.0,-7.0,297.0,53,153,441.0,153,253
227.0,-6.0,293.0,53,153,437.0,153,253
222.0,-5.0,289.0,53,153,433.0,153,253
218.0,-4.0,285.0,53,153,429.0,153,253
215.0,-3.0,281.0,53,153,425.0,153,253
213.0,-2.0,277.0,53,153,421.0,153,253
212.0,-1.0,273.0,53,153,417.0,153,253
212.0,0.0,269.0,53,153,413.0,153,253
213.0,1.0,265.0,53,153,409.0,153,253
215.0,2.0,261.0,53,153,405.0,153,253
218.0,3.0,257.0,53,153,401.0,153,253
222.0,4.0,253.0,53,153,397.0,153,253
227.0,5.0,249.0,53,153,393.0,153,253
233.0,6.0,245.0,53,153,389.0,153,253
240.0,7.0,241.0,53,153,385.0,153,253
232.0,-8.0,237.0,53,153,381.0,153,253
224.0,-8.0,233.0,53,153,377.0,153,253
217.0,-7.0,229.0,53,153,373.0,153,253
211.0,-6.0,225.0,53,153,369.0,153,253
206.0,-5.0,221.0,53,153,365.0,153,253
202.0,-4.0,217.0,53,153,361.0,153,253
199.0,-3.0,213.0,53,153,357.0,153,253
191.0,-8.0,209.0,53,153,353.0,153,253
183.0,-8.0,205.0,53,153,349.0,153,253
176.0,-7.0,201.0,53,153,345.0,153,253
170.0,-6.0,197.0,53,153,341.0,153,253
165.0,-5.0,193.0,53,153,337.0,153,253
161.0,-4.0,189.0,53,153,333.0,153,253
153.0,-8.0,185.0,53,153,329.0,153,253
145.0,-8.0,181.0,53,153,325.0,153,253
138.0,-7.0,177.0,53,153,321.0,153,253
132.0,-6.0,173.0,53,153,317.0,153,253
127.0,-5.0,169.0,53,153,313.0,153,253
123.0,-4.0,165.0,53,153,309.0,153,253
120.0,-3.0,161.0,53,153,305.0,153,253
118.0,-2.0,157.0,53,153,301.0,153,253
117.0,-1.0,153.0,53,153,297.0,153,253
117.0,0.0,149.0,53,153,293.0,153,253
118.0,1.0,145.0,53,153,289.0,153,253
120.0,2.0,141.0,53,153,285.0,153,253
123.0,3.0,137.0,53,153,281.0,153,253
127.0,4.0,133.0,53,153,277.0,153,253
119.0,-8.0,129.0,53,153,273.0,153,253
111.0,-8.0,125.0,53,153,269.0,153,253
104.0,-7.0,121.0,53,153,265.0,153,253
98.0,-6.0,117.0,53,153,261.0,153,253
93.0,-5.0,113.0,53,153,257.0,153,253
89.0,-4.0,109.0,53,153,253.0,153,253
86.0,-3.0,105.0,53,153,249.0,153,253
84.0,-2.0,101.0,53,153,245.0,153,253
83.0,-1.0,97.0,53,153,241.0,153,253
83.0,0.0,93.0,53,153,237.0,153,253
84.0,1.0,89.0,53,153,233.0,153,253
86.0,2.0,85.0,53,153,229.0,153,253
89.0,3.0,81.0,53,153,225.0,153,253
93.0,4.0,77.0,53,153,221.0,153,253
98.0,5.0,73.0,53,153,217.0,153,253
90.0,-8.0,69.0,53,153,213.0,153,253
82.0,-8.0,65.0,53,153,209.0,153,253
75.0,-7.0,61.0,53,153,205.0,153,253
69.0,-6.0,57.0,53,153,201.0,153,253
64.0,-5.0,53.0,53,153,197.0,153,253
60.0,-4.0,49.0,53,153,193.0,153,253
57.0,-3.0,45.0,53,153,189.0,153,253
55.0,-2.0,41.0,53,153,185.0,153,253
54.0,-1.0,37.0,53,153,181.0,153,253
54.0,0.0,33.0,53,153,177.0,153,253
55.0,1.0,29.0,53,153,173.0,153,253
57.0,2.0,25.0,53,153,169.0,153,253
60.0,3.0,21.0,53,153,165.0,153,253
64.0,4.0,17.0,53,153,161.0,153,253
69.0,5.0,13.0,53,153,157.0,153,253
75.0,6.0,9.0,53,153,153.0,153,253
82.0,7.0,5.0,53,153,149.0,153,253
90.0,8.0,1.0,53,153,145.0,153,253
99.0,9.0,141.0,153,253,285.0,37,137
109.0,10.0,137.0,153,253,281.0,37,137
119.0,10.0,133.0,153,253,277.0,37,137
129.0,10.0,129.0,153,253,273.0,37,137
139.0,10.0,125.0,153,253,269.0,37,137
149.0,10.0,121.0,153,253,265.0,37,137
159.0,10.0,117.0,153,253,261.0,37,137
169.0,10.0,113.0,153,253,257.0,37,137
179.0,10.0,109.0,153,253,253.0,37,137
189.0,10.0,105.0,153,253,249.0,37,137
181.0,-8.0,101.0,153,253,245.0,37,137
173.0,-8.0,97.0,153,253,241.0,37,137
166.0,-7.0,93.0,153,253,237.0,37,137
160.0,-6.0,89.0,153,253,233.0,37,137
155.0,-5.0,85.0,153,253,229.0,37,137
151.0,-4.0,81.0,153,253,225.0,37,137
148.0,-3.0,77.0,153,253,221.0,37,137
146.0,-2.0,73.0,153,253,217.0,37,137
145.0,-1.0,69.0,153,253,213.0,37,137
145.0,0.0,65.0,153,253,209.0,37,137
146.0,1.0,61.0,153,253,205.0,37,137
256,1.0,309.0,85,185,453.0,80,180
249.0,-7.0,305.0,85,185,449.0,80,180
242.0,-7.0,301.0,85,185,445.0,80,180
236.0,-6.0,297.0,85,185,441.0,80,180
231.0,-5.0,293.0,85,185,437.0,80,180
227.0,-4.0,289.0,85,185,433.0,80,180
224.0,-3.0,285.0,85,185,429.0,80,180
222.0,-2.0,281.0,85,185,425.0,80,180
221.0,-1.0,277.0,85,185,421.0,80,180
221.0,0.0,273.0,85,185,417.0,80,180
222.0,1.0,269.0,85,185,413.0,80,180
224.0,2.0,265.0,85,185,409.0,80,180
227.0,3.0,261.0,85,185,405.0,80,180
231.0,4.0,257.0,85,185,401.0,80,180
236.0,5.0,253.0,85,185,397.0,80,180
242.0,6.0,249.0,85,185,393.0,80,180
249.0,7.0,245.0,85,185,389.0,80,180
257.0,8.0,241.0,85,185,385.0,80,180
266.0,9.0,237.0,85,185,381.0,80,180
276.0,10.0,233.0,85,185,377.0,80,180
286.0,10.0,229.0,85,185,373.0,80,180
296.0,10.0,225.0,85,185,369.0,80,180
306.0,10.0,221.0,85,185,365.0,80,180
316.0,10.0,217.0,85,185,361.0,80,180
326.0,10.0,213.0,85,185,357.0,80,180
336.0,10.0,209.0,85,185,353.0,80,180
346.0,10.0,205.0,85,185,349.0,80,180
338.0,-8.0,201.0,85,185,345.0,80,180
330.0,-8.0,197.0,85,185,341.0,80,180
323.0,-7.0,193.0,85,185,337.0,80,180
317.0,-6.0,189.0,85,185,333.0,80,180
312.0,-5.0,185.0,85,185,329.0,80,180
308.0,-4.0,181.0,85,185,325.0,80,180
300.0,-8.0,177.0,85,185,321.0,80,180
292.0,-8.0,173.0,85,185,317.0,80,180
285.0,-7.0,169.0,85,185,313.0,80,180
279.0,-6.0,165.0,85,185,309.0,80,180
274.0,-5.0,161.0,85,185,305.0,80,180
270.0,-4.0,157.0,85,185,301.0,80,180
262.0,-8.0,153.0,85,185,297.0,80,180
254.0,-8.0,149.0,85,185,293.0,80,180
247.0,-7.0,145.0,85,185,289.0,80,180
241.0,-6.0,141.0,85,185,285.0,80,180
236.0,-5.0,137.0,85,185,281.0,80,180
232.0,-4.0,133.0,85,185,277.0,80,180
224.0,-8.0,129.0,85,185,273.0,80,180
216.0,-8.0,125.0,85,185,269.0,80,180
209.0,-7.0,121.0,85,185,265.0,80,180
203.0,-6.0,117.0,85,185,261.0,80,180
198.0,-5.0,113.0,85,185,257.0,80,180
190.0,-8.0,109.0,85,185,253.0,80,180
182.0,-8.0,105.0,85,185,249.0,80,180
175.0,-7.0,101.0,85,185,245.0,80,180
169.0,-6.0,97.0,85,185,241.0,80,180
